text_mat_subid,text_mat_age,text_mat_sex,data_mat_acc,data_mat_int,data_mat_r_int,types,features,emotions
formal_unmask_15,18,male,1,8.1,8.1,real,face,happy
formal_unmask_15,18,male,0.9,6,5.9444,real,face,neu
formal_unmask_15,18,male,0.75,7.35,7.7333,real,face,sad
formal_unmask_15,18,male,0.3,5.7,5.6667,cart,eye,happy
formal_unmask_15,18,male,0.35,5.35,5.2857,cart,eye,neu
formal_unmask_15,18,male,0.6,5.65,5.75,cart,eye,sad
formal_unmask_15,18,male,0.65,5.5,5.6923,cart,eyeb,happy
formal_unmask_15,18,male,0.55,5.2,5.0909,cart,eyeb,neu
formal_unmask_15,18,male,0.8,6.4,6.625,cart,eyeb,sad
formal_unmask_15,18,male,0.85,6.15,6.2941,cart,mouth,happy
formal_unmask_15,18,male,0.9,5.25,5.2778,cart,mouth,neu
formal_unmask_15,18,male,0.55,6.8,7.5455,cart,mouth,sad
formal_unmask_15,18,male,1,8.7,8.7,cart,face,happy
formal_unmask_15,18,male,0.75,6.8,6.7333,cart,face,neu
formal_unmask_15,18,male,1,8.8,8.8,cart,face,sad
formal_unmask_16,24,female,1,5.8,5.8,real,eye,happy
formal_unmask_16,24,female,0.7,4.55,4.7143,real,eye,neu
formal_unmask_16,24,female,0.65,5.7,6.3846,real,eye,sad
formal_unmask_16,24,female,0.1,3.75,3.5,real,eyeb,happy
formal_unmask_16,24,female,0.75,3.65,3.6667,real,eyeb,neu
formal_unmask_16,24,female,0.5,5.2,5.9,real,eyeb,sad
formal_unmask_16,24,female,1,7.6,7.6,real,mouth,happy
formal_unmask_16,24,female,0.4,4.65,4.875,real,mouth,neu
formal_unmask_16,24,female,0.5,5.25,5.7,real,mouth,sad
formal_unmask_16,24,female,1,7.65,7.65,real,face,happy
formal_unmask_16,24,female,0.65,5.2,5.5385,real,face,neu
formal_unmask_16,24,female,0.9,6.8,7,real,face,sad
formal_unmask_16,24,female,0.65,6,6.0769,cart,eye,happy
formal_unmask_16,24,female,0.5,5.35,5.1,cart,eye,neu
formal_unmask_16,24,female,0.65,6.35,6.6923,cart,eye,sad
formal_unmask_16,24,female,0.45,5.35,5.7778,cart,eyeb,happy
formal_unmask_16,24,female,0.75,5.2,5.1333,cart,eyeb,neu
formal_unmask_16,24,female,0.6,7.15,7.4167,cart,eyeb,sad
formal_unmask_16,24,female,1,7.4,7.4,cart,mouth,happy
formal_unmask_16,24,female,0.95,6.05,6,cart,mouth,neu
formal_unmask_16,24,female,0.65,6.55,6.6923,cart,mouth,sad
formal_unmask_16,24,female,1,7.4,7.4,cart,face,happy
formal_unmask_16,24,female,1,6.35,6.35,cart,face,neu
formal_unmask_16,24,female,0.9,7.45,7.4444,cart,face,sad
formal_unmask_17,18,male,1,6.25,6.25,real,eye,happy
formal_unmask_17,18,male,0.3,5.35,5,real,eye,neu
formal_unmask_17,18,male,0.3,5.3,5.3333,real,eye,sad
formal_unmask_17,18,male,0.1,5,6,real,eyeb,happy
formal_unmask_17,18,male,0.85,5.05,5,real,eyeb,neu
formal_unmask_17,18,male,0.4,5.85,5.875,real,eyeb,sad
formal_unmask_17,18,male,1,7.55,7.55,real,mouth,happy
formal_unmask_17,18,male,0.8,5.05,5,real,mouth,neu
formal_unmask_17,18,male,0.05,5.1,5,real,mouth,sad
formal_unmask_17,18,male,1,7.5,7.5,real,face,happy
formal_unmask_17,18,male,0.85,4.95,5,real,face,neu
formal_unmask_17,18,male,0.6,6.45,6.3333,real,face,sad
formal_unmask_17,18,male,0.25,5.2,5.4,cart,eye,happy
formal_unmask_17,18,male,0.25,5.15,5.2,cart,eye,neu
formal_unmask_17,18,male,0.45,5.85,6.1111,cart,eye,sad
formal_unmask_17,18,male,0.35,5.65,6.2857,cart,eyeb,happy
formal_unmask_17,18,male,0.6,5.15,5,cart,eyeb,neu
formal_unmask_17,18,male,0.45,7.2,7.2222,cart,eyeb,sad
formal_unmask_17,18,male,1,7.05,7.05,cart,mouth,happy
formal_unmask_17,18,male,0.45,5.2,4.8889,cart,mouth,neu
formal_unmask_17,18,male,0.55,6.55,6.9091,cart,mouth,sad
formal_unmask_17,18,male,1,7.3,7.3,cart,face,happy
formal_unmask_17,18,male,0.45,5,5.1111,cart,face,neu
formal_unmask_17,18,male,0.85,7.1,7.0588,cart,face,sad
formal_unmask_18,19,male,0.7,5.75,5.9286,real,eye,happy
